Ticker,Company,Type,Flag
TBT,PROSHARES ULTRASHORT LEHMAN 20+YR T,EQUITY D PENNIES TO 3.00,0
TCK,TECK RESOURCES LTD.,EQUITY D PENNIES TO 3.00,0
TEVA,TEVA PHARMACEUTCL INDS ADR,EQUITY D PENNIES TO 3.00,0
TGT,TARGET CORPORATION,EQUITY D PENNIES TO 3.00,0
TIF,TIFFANY & CO,EQUITY D PENNIES TO 3.00,0
TIVO,TIVO INC,EQUITY D PENNIES TO 3.00,0
TLT,iShares 20+ Year Treasury Bond ETF,EQUITY D PENNIES TO 3.00,0
TM,TOYOTA MOTOR CRP SPONSORED ADR (REP,EQUITY D PENNIES TO 3.00,0
TMUS,"T-Mobile US, Inc",EQUITY D PENNIES TO 3.00,0
TNA,Direxionshares Small Cap Bull 3X Shares,EQUITY D PENNIES TO 3.00,0
TSL,Trina Solar Ltd.,EQUITY D PENNIES TO 3.00,0
TSLA,TESLA MOTORS INC,EQUITY D PENNIES TO 3.00,0
TSO,TESORO CORPORATION,EQUITY D PENNIES TO 3.00,0
TWTR,"TWITTER, INC",EQUITY D PENNIES TO 3.00,0
TWX,Time Warner Inc.,EQUITY D PENNIES TO 3.00,0
TXN,TEXAS INSTRUMENTS INC.,EQUITY D PENNIES TO 3.00,0
TXT,TEXTRON INCORPORATED OF DEL,EQUITY D PENNIES TO 3.00,0
TYC,TYCO INTERNATIONAL LTD (NEW),EQUITY D PENNIES TO 3.00,0
TZA,Direxionshares Small Cap Bear 3X Shares,EQUITY D PENNIES TO 3.00,0
UAL,"United Continental Holding, Inc.",EQUITY D PENNIES TO 3.00,0
UNG,United States Natural Gas Fund,EQUITY D PENNIES TO 3.00,0
UNH,UNITEDHEALTH GROUP INC,EQUITY D PENNIES TO 3.00,0
UNP,UNION PACIFIC CORPORATION,EQUITY D PENNIES TO 3.00,0
UPS,"UNITED PARCEL SERVICE,INC.CL B",EQUITY D PENNIES TO 3.00,0
URE,PROSHARES ULTRA REAL EST,EQUITY D PENNIES TO 3.00,0
USB,U.S.BANCORP (NEW),EQUITY D PENNIES TO 3.00,0
USO,United States Oil Fund,EQUITY D PENNIES TO 3.00,0
UTX,UNITED TECHNOLOGIES CORP,EQUITY D PENNIES TO 3.00,0
UUP,POWER SHARES DB US DOLLAR BULLISH FUND,EQUITY D PENNIES TO 3.00,0
UVXY,PROSH ULTRA VIX SHORT-TERM FUTURES ETF,EQUITY D PENNIES TO 3.00,0
